URL,Automatic,Notes
http://www.nlm.nih.gov/research/umls/implementation_resources/scripts/index.html,Yes,
http://www.nlm.nih.gov/research/umls/index.html,No,Too complicated
http://www.nlm.nih.gov/research/umls/knowledge_sources/index.html,No,Too complicated
http://www.nlm.nih.gov/research/umls/knowledge_sources/metathesaurus/forthcoming_releases.html,Yes,
http://www.nlm.nih.gov/research/umls/knowledge_sources/metathesaurus/index.html,Yes,
http://www.nlm.nih.gov/research/umls/knowledge_sources/metathesaurus/mapping_projects/index.html,Yes,
http://www.nlm.nih.gov/research/umls/knowledge_sources/metathesaurus/release/index.html,Yes,
http://www.nlm.nih.gov/research/umls/licensedcontent/downloads.html,Yes,
http://www.nlm.nih.gov/research/umls/loinc_main.html,No,"Code per node CSS likely, and blueArrow"
http://www.nlm.nih.gov/research/umls/news/index.html,No,How is this built?   Manually I'm guessing.
http://www.nlm.nih.gov/research/umls/new_users/glossary.html,No,Build a taxonomy to maintain both this and XML
http://www.nlm.nih.gov/research/umls/new_users/index.html,No,Too complicated
http://www.nlm.nih.gov/research/umls/new_users/online_learning/index.htm,Exclude,It’s a book
http://www.nlm.nih.gov/research/umls/quickstart.html,Yes,Code Per node CSS
http://www.nlm.nih.gov/research/umls/rxnorm/docs/index.html,Yes,
http://www.nlm.nih.gov/research/umls/rxnorm/docs/prescribe.html,Yes,
http://www.nlm.nih.gov/research/umls/rxnorm/docs/rxnormfiles.html,Yes,file uploads
http://www.nlm.nih.gov/research/umls/rxnorm/history_and_pubs.html,Yes,
http://www.nlm.nih.gov/research/umls/rxnorm/index.html,Yes,
http://www.nlm.nih.gov/research/umls/rxnorm/overview.html,No,Uses javascript jig library
http://www.nlm.nih.gov/research/umls/sitemap.html,Yes,Requires custom classes
http://www.nlm.nih.gov/research/umls/Snomed/snomed_browsers.html,No,Use javascript jig library
http://www.nlm.nih.gov/research/umls/Snomed/snomed_main.html,Yes,
http://www.nlm.nih.gov/research/umls/sourcereleasedocs/index.html,No,Looks like it uses javascript jig library
http://www.nlm.nih.gov/research/umls/support.html,Yes,
http://www.nlm.nih.gov/research/umls/user_education/index.html,No,menu-like home page
http://www.nlm.nih.gov/research/umls/user_education/learning_resources.html,No,heavy use of jig
http://www.nlm.nih.gov/research/umls/user_education/presentations.html,Yes,
http://www.nlm.nih.gov/services/dietsup.html,Yes,
http://www.nlm.nih.gov/services/doctor.html,Yes,
http://www.nlm.nih.gov/services/drug.html,Yes,
http://www.nlm.nih.gov/services/drug_procedure_costs.html,Yes,
http://www.nlm.nih.gov/services/drug_screening.html,Yes,
http://www.nlm.nih.gov/services/faqctgov.html,Yes,
http://www.nlm.nih.gov/services/international.html,Yes,
http://www.nlm.nih.gov/services/research.html,Yes,
http://www.nlm.nih.gov/services/Subject_Guides/subjectguidesonselectedtopics/index.html,No,It’s a book - do the main topics?
http://www.nlm.nih.gov/sitemap.html,No,Basically a view of the main menu
http://www.nlm.nih.gov/socialmedia/index.html,Yes,
http://www.nlm.nih.gov/tsd/acquisitions/cdm/index.html,No,At least code per node/maybe custom menus
http://www.nlm.nih.gov/tsd/acquisitions/mainpage.html,Yes,Just another Branding
http://www.nlm.nih.gov/tsd/cataloging/mainpge.html,No,more than generic content
http://www.nlm.nih.gov/tsd/serials/lsiou.html,Yes,
